Category,Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
Greek Geography,Ποιο είναι το υψηλότερο βουνό στην Ελλάδα;,Όλυμπος,Πάρνηθα,Ταΰγετος,Πίνδος,1
Greek Geography,Σε πόσες περιφέρειες είναι χωρισμένη η Ελλάδα;,11,12,13,14,3
Greek Geography,Ποιος κόλπος βρίσκεται στη βορειοανατολική ακτή της Πελοποννήσου;,Πατραϊκός,Θερμαϊκός,Σαρωνικός,Κορινθιακός,4
Greek Geography,Ποια είναι η μεγαλύτερη σε επιφάνεια λίμνη στην Ελλάδα;,Τριχωνίδα,Πλαστήρα,Κορώνεια,Κορώνεια,1
Greek Geography,Ποια πόλη είναι η πρωτεύουσα της Κρήτης;,Χανιά,Ρέθυμνο,Ηράκλειο,Άγιος Νικόλαος ,3
Greek Geography,Ποια είναι η μοναδική φυσική λίμνη της Κρήτης;,Κουρνά,Ζήρος,Κόκκαλα,Τσιβλού,1
Greek Geography,Ποια είναι η μεγαλύτερη νησιωτική ομάδα στην Ελλάδα; ,Δωδεκάνησα ,Κυκλάδες ,Επτάνησα ,Σποράδες,2
Greek Geography,Ποιο είναι το μεγαλύτερο νησί του Ιονίου;,Κέρκυρα,Λευκάδα ,Ζάκυνθος,Κεφαλονιά,4
Greek Geography,Ποια είναι η υψηλότερη κορυφή της Πελοποννήσου;,Όλυμπος,Ταΰγετος,Πάρνωνας,Κυλλήνη,2
Greek Geography,Ποιο είναι το μεγαλύτερο νησί της Ελλάδας σε έκταση;,Κέρκυρα,Λέσβος,Ρόδος,Κρήτη,4
Greek Geography,Ποιος είναι ο μεγαλύτερος σε μήκος ποταμός στην Ελλάδα; ,Αχελώος ,Έβρος ,Αλιάκμονας ,Κηφισός,3
Greek Geography,Ποια είναι η μεγαλύτερη πεδιάδα της Ελλάδας;,Θεσσαλίας,Σερρών,Θεσσαλονίκης-Γιαννιτσών,Δράμας,3
Greek Geography,Ποια είναι η μαγελύτερη σε έκταση περιφέρεια της Ελλάδας;,Θεσσαλία,Στερεά Ελλάδα,Κεντρική Μακεδονία,Πελοπόννησος,3
Greek Geography,Ποιο είναι το μεγαλύτερο σε έκταση πέλαγος της Ελλάδας;,Ιόνιο,Αιγαίο,Λιβυκό,Κρητικό,2
Greek Geography,Σε πόσους νομούς είναι χωρισμένη η Ελλάδα;,48,51,54,57,3
Greek Geography,Ποιο είναι το δεύτερο μεγαλύτερο νησί της Ελλάδας;,Ρόδος,Λέσβος,Κεφαλονιά,Εύβοια,4
Greek Geography,Ποιο είναι το δεύτερο ψυλότερο βουνό της Ελλάδας;,Οίτη,Ταΰγετος,Σμόλικας,Πάρνηθα,3
Greek Geography,Πόσα είναι τα γεωγραφικά διαμερίσματα της Ελλάδας;,7,8,9,10,3
Greek Geography,Από ποιο πέλαγος βρέχεται στα νότια της η Ελλάδα;,Λιβυκό,Μυρτώο,Αιγαίο,Ιόνιο,1
Greek Geography,Με πόσες χώρες συνορεύει η ηπειρωτική Ελλάδα;,3,4,5,6,2
World Geography,Ποια είναι η μεγαλύτερη ήπειρος σε έκταση στον κόσμο;  ,Αφρική,Ασία,Ευρώπη,Βόρεια Αμερική,2
World Geography,Ποιο είναι το μεγαλύτερο σε έκταση νησί της Μεσογείου;,Σικελία,Κρήτη,Σαρδηνία,Κύπρος,1
World Geography,Ποια από τις παρακάτω χώρες βρίσκεται στην περιοχή των Άλπεων;,Ελλάδα,Σουηδία,Πορτογαλία,Ελβετία,4
World Geography,Ποια είναι η μεγαλύτερη λίμνη σε έκταση στον κόσμο;,Βανέρ,Τίτικα,Βαϊκάλη,Κασπία,4
World Geography,Σε ποια ήπειρο βρίσκεται η χώρα της Αυστραλίας;,Ασία,Αφρική,Ευρώπη,Ωκεανία,4
World Geography,Ποια είναι η μεγαλύτερη χώρα στη Λατινική Αμερική;,Βραζιλία,Μεξικό,Αργεντινή,Περού,1
World Geography,Ποιος είναι ο μεγαλύτερος ποταμός στην Αφρική;,Κονγκό,Νείλος,Ζαμβέζης,Λιμπερτέ,2
World Geography,Ποια χώρα βρίσκεται στο Αμαζόνιο δάσος;,Κολομβία,Περού,Βραζιλία,Βολιβία,3
World Geography,Ποια χώρα βρίσκεται στο άκρο της Αραβικής χερσονήσου;,Ιράν,Ομάν,Κατάρ,Υεμένη,3
World Geography,Ποιο είναι το υψηλότερο βουνό στον κόσμο;,Άντεν,Κιλιμαντζάρο,Έβερεστ,Ολύμπος,3
World Geography,Ποιο είναι το μεγαλύτερο νησί στον κόσμο;,Κρήτη,Ιαπωνία,Μαδαγασκάρη,Γροιλανδία ,4
World Geography,Ποια είναι η δεύτερη μεγαλύτερη ήπειρος σε έκταση στον κόσμο; ,Αφρική,Ασία,Ευρώπη,Βόρεια Αμερική,1
World Geography,Πόση από την επιφάνεια της γης καλύπτει η θάλασσα;, 5/10, 6/10, 7/10, 8/10,3
World Geography,Που βρίσκεται η διώρυγα του Σουέζ;,Ασία,Αφρική,Αμερική,Ευρώπη,2
World Geography,Ποια είναι η μεγαλύτερη ερημος στον κόσμο;,Σαχάρα,Καλαχάρι,Ανταρκτική,Παταγονίας,3
World Geography,Ποια χώρα διαθέτει τον μεγαλύτερο αριθμό ενεργών ηφαιστείων; ,Ιαπωνία,Ηνωμένες Πολιτείες,Ινδονησία,Ρωσία,3
World Geography,Ποια είναι η μεγαλύτερη σε έκταση χώρα στον κόσμο;,ΗΠΑ,Ρωσία,Κίνα,Ιαπωνία,2
World Geography,Ποια είναι η χώρα με τον μεγαλύτερο αριθμό νησιών στον κόσμο;,Ελλάδα,Σουηδία,Ινδονησία,Νορβηγία,2
World Geography,Ποιο είναι το μεγαλύτερο ενεργό ηφαίστειο στην Ευρώπη;,Βεζούβιος,Αίτνα,Κούμπρε Βιέχα,Σαντορίνη,2
World Geography,Ποιος είναι ο μεγαλύτερος σε μήκος ποταμός στον κόσμο;,Αμαζόνιος,Νείλος,Μισισιπής,Κονγκό,2
Greek History,Ποια αρχαία ελληνική πόλη θεωρείται ως η ιστορική πηγή των Ολυμπιακών Αγώνων;,Αθήνα,Σπάρτη,Ολυμπία,Κόρινθος,3
Greek History,Ποιά χρονιά έγινε η Ελλάδα μέλος της Ευρωπαϊκής Οικονομικής Κοινότητας (Ε.Ο.Κ);,1961,1967,1974,1980,1
Greek History,Ποια αρχαία μάχη σηματοδότησε τη νίκη των Ελλήνων επί των Περσών και θεωρείται κρίσιμη στην ιστορία της Ελλάδας;,Μαραθώνας,Θερμοπύλες,Σαλαμίνα,Πλαταιές,3
Greek History,Ποια χρονιά ξεκίνησε ο Πελοποννησιακός Πόλεμος;,427 π.Χ,431 π.Χ.,433 π.Χ.,435 π.Χ.,2
Greek History,Ποιος ήταν ο βασιλιάς της Σπάρτης που αγωνίστηκε στη Μάχη των Θερμοπυλών;,Κλεομένης,Λεωνίδας,Αγαμέμνων,Θεμιστοκλής,2
Greek History,Πότε υπογράφηκε η συνθήκη ένταξης της Ελλάδας στην Ευρωπαϊκή Ένωση;,1974,1976,1979,1981,3
Greek History,Ποιος αρχαίος Έλληνας φιλόσοφος είναι γνωστός για τον υπολογισμό της περιφέρειας της Γης με ακρίβεια;,Πυθαγόρας,Αρχιμήδης,Ευκλείδης,Ήρων,2
Greek History,Ποια είναι η ημερομηνία της επανάστασης του 1821 και της Έναρξης της Ελληνικής Ανεξαρτησίας;,1 Απριλίου 1821,17 Νοεμβρίου 1821,25 Μαρτίου 1821,6 Μαΐου 1821,3
Greek History,Ποιος ήταν ο πρώτος βασιλιάς της νεοσύστατης Ελληνικής Πολιτείας μετά τον αγώνα της Ελληνικής Ανεξαρτησίας;,Γεώργιος Α' ,Κωνσταντίνος Α',Αλέξανδρος Α',Γεώργιος Β΄,1
Greek History,Ποιο γεγονός στις αρχές του 20ού αιώνα σηματοδότησε την έναρξη των Βαλκανικών Πολέμων;,Η επίθεση των Οθωμανών στην Ελλάδα,Η επίθεση της Βουλγαρίας στην Σερβία,Η δολοφονία του Αρχιδούκα της Αυστρίας,Η ανεξαρτησία της Ρουμανίας από την Οθωμανική Αυτοκρατορία,3
Greek History,Ποιος Έλληνας πολιτικός ήταν ο ηγέτης της Ελληνικής Αντίστασης κατά της γερμανικής κατοχής κατά τον Β' Παγκόσμιο Πόλεμο;,Ελευθέριος Βενιζέλος,Ανδρέας Παπανδρέου,Ιωάννης Μεταξάς,Εμμανουήλ Ροΐδης,4
